,towns,lon,lat
350,"Cache, Arkansas",-91.3276422,34.7226742
351,"Caddo, Arkansas",-93.1779659,34.0232374
352,"Cadron, Arkansas",-92.4406387,35.0804117
353,"Cahawba, Alabama",-86.7356582,33.4185203
354,"Cahokia, Illinois",-90.1901113,38.5708849
355,"Cairo, New York",-73.9984659,42.2989749
356,"Calais, Maine",-67.2786038,45.1889633
357,"Calais, Massachusetts",-71.4854272,42.7444057
358,"Calais, Vermont",-72.4663426,44.363296
359,"Caledonia, New York",-77.852785,42.9731175
360,"Cambden, Massachusetts",-71.0819654,42.3383923
361,"Cambria, New York",-78.8156113,43.1848992
362,"Cambridge, Maryland",-76.0788292,38.5631744
363,"Cambridge, Massachusetts",-71.1097335,42.3736158
364,"Cambridge, New York",-73.3812231,43.0281329
365,"Cambridge, Vermont",-72.8762772,44.6447724
366,"Camden, Maine",-69.0647838,44.2097928
367,"Camden, Massachusetts",-76.2192684,36.2886478
368,"Camden, New York",-75.747964,43.3345138
369,"Camilius, New York",-76.3040965,43.039233
370,"Camillus, New York",-76.3040965,43.039233
371,"Campbells Town, Pennsylvania",-78.41194,39.61806
372,"Canaan, Connecticut",-73.3001233,41.9640877
373,"Canaan, Maine",-69.5614376,44.7617295
374,"Canaan, Massachusetts",-73.3001233,41.9640877
375,"Canaan, New York",-73.447175,42.4116592
376,"Canaan, Vermont",-71.569735,44.9892957
377,"Canadaigua, New York",-77.2816984,42.887535
378,"Canadaque, New York",-74.0059413,40.7127837
379,"Canadian, Arkansas",-89.7567693,35.9367499
380,"Canaedea, New York",-78.1536209,42.3864542
381,"Canaedes, New York",-74.0059413,40.7127837
382,"Canajoharie, New York",-74.5718073,42.9056288
383,"Canajoharry, New York",-74.5718073,42.9056288
384,"Canajohary, New York",-74.5718073,42.9056288
385,"Canandaigua, New York",-77.2816984,42.887535
386,"Canandaiqua, New York",-77.2816984,42.887535
387,"Canandarqua, New York",-77.2816984,42.887535
388,"Cane Creek, Illinois",-88.1217336,37.5554437
389,"Canesteo, New York",-77.6058225,42.2703487
390,"Canisteo, New York",-77.6058225,42.2703487
391,"Cannajoharie, New York",-74.5718073,42.9056288
392,"Cannonsburg, Pennsylvania",-80.1872797,40.2625702
393,"Canojoharie, New York",-74.5718073,42.9056288
394,"Canojohary, New York",-74.5718073,42.9056288
395,"Canterbury, Connecticut",-71.9709075,41.6984319
396,"Canton, Connecticut",-72.8956177,41.8247572
397,"Canton, Maine",-70.3153378,44.4406212
398,"Canton, Massachusetts",-71.1447732,42.1584324
399,"Canton, New York",-75.1690942,44.5956163
400,"Cape au Gris, Illinois",-90.672067,38.9914385
401,"Cape Elisabeth, Massachusetts",-70.1811676,43.6615323
402,"Cape Elizabeth, Maine",-70.2000467,43.563696
403,"Cape Elizabeth, Massachusetts",-70.1811676,43.6615323
404,"Cape Girardeau, Missouri",-89.5181476,37.3058839
405,"Carlisle, Massachusetts",-71.3495046,42.5292597
406,"Carlisle, New York",-74.4456909,42.7570191
407,"Carlisle, Pennsylvania",-77.2002745,40.2010241
408,"Carlyle, Illinois",-89.3725796,38.6103264
409,"Carmel, Maine",-69.0511537,44.7975688
410,"Carmel, Massachusetts",-70.8439595,41.9202466
411,"Carmel, New York",-73.6801297,41.4300937
412,"Carmi, Illinois",-88.1586488,38.0908796
413,"Carmichael's, Pennsylvania",-79.9744992,39.8967425
414,"Carmicheal's, Pennsylvania",-79.9744992,39.8967425
415,"Carrollton, Illinois",-90.4070632,39.3022693
416,"Carver, Massachusetts",-70.7625376,41.8834363
417,"Casanova, New York",-73.8890878,40.8097618
418,"Casenovia, New York",-75.8526915,42.9300668
419,"Cash, Illinois",-88.942824,37.747171
420,"Cassinovia, New York",-75.8526915,42.9300668
421,"Castine, Maine",-68.7989582,44.3888609
422,"Castine, Massachusetts",-71.4059197,41.9185455
423,"Castle Town, New York",-85.3780169,39.9350949
424,"Castleton, New York",-73.179832,43.6106223
425,"Castleton, Vermont",-73.179832,43.6106223
426,"Castletown, New York",-73.7742219,41.1556006
427,"Castor, Missouri",-89.9440061,36.8895824
428,"Catham, New York",-73.5948391,42.3642516
429,"Catharine's Town, New York",-79.2468626,43.1593745
430,"Catharines, New York",-73.9555329,41.0571245
431,"Catherine, New York",-73.9969256,40.7120794
432,"Catherines, New York",-73.459315,44.685229
433,"Cato, New York",-76.5729987,43.1681225
434,"Catskill, New York",-73.8645734,42.2173102
435,"Catts-Kill, New York",-73.8645734,42.2173102
436,"Cattskill, New York",-73.8645734,42.2173102
437,"Caughnawaga, New York",-74.3679112,42.9569124
438,"Cave-Town, Maryland",-77.5858238,39.6442633
439,"Cavendish, Vermont",-72.5914616,43.4145061
440,"Cavetown, Maryland",-77.5858238,39.6442633
441,"Cazanovia, New York",-75.8526915,42.9300668
442,"Cazenova, New York",-75.8526915,42.9300668
443,"Cazenovia, New York",-75.8526915,42.9300668
444,"Cecilton, Maryland",-75.867439,39.4040015
445,"Cedar, Kentucky",-86.9953839,37.416146
446,"Cedar, Missouri",-93.8655303,37.7031209
447,"Centerville, Maryland",-76.0663334,39.0417785
448,"Centreville, Maryland",-76.0663334,39.0417785
449,"Centreville, Pennsylvania",-79.9756065,40.0453511
450,"Chaarleton, New York",-73.9690142,42.9334089
451,"Chambers, Illinois",-90.3020655,40.4365002
452,"Chambersburg, Pennsylvania",-77.6611022,39.9375911
453,"Champien, New York",-75.6901951,43.9622893
454,"Champion, New York",-75.6901951,43.9622893
455,"Champlaign, New York",-73.4465251,44.9864273
456,"Champlain, New York",-73.4465251,44.9864273
457,"Champlin, New York",-73.4465251,44.9864273
458,"Chapel, Maryland",-77.1045132,39.0030307
459,"Chappel, Maryland",-76.1699746,39.5581974
460,"Charette, Missouri",-91.0777723,38.6690073
461,"Chariton Town, Missouri",-92.5232415,39.6480887
462,"Chariton, Missouri",-92.5232415,39.6480887
463,"Charlemont, Massachusetts",-72.8698183,42.627862
464,"Charleston, Maryland",-75.9749456,39.5737254
465,"Charleston, New York",-74.341244,42.8459075
466,"Charlestown, Maryland",-75.9749456,39.5737254
467,"Charlestown, Massachusetts",-71.0602131,42.3782065
468,"Charlestown, New York",-71.6418744,41.3832162
469,"Charlestown, Rhode Island",-71.6418744,41.3832162
470,"Charleton, New York",-73.9690142,42.9334089
471,"Charlotte, Vermont",-73.2609928,44.3098476
472,"Charlston, New York",-74.341244,42.8459075
473,"Charlstown, New York",-71.6418744,41.3832162
474,"Charlton, Massachusetts",-71.970074,42.13565
475,"Charlton, New York",-73.9690142,42.9334089
476,"Chateagay, New York",-74.0796081,44.9264336
477,"Chateaugay, New York",-74.0796081,44.9264336
478,"Chateauguay, New York",-74.1749786,45.0843882
479,"Chatham, Connecticut",-70.006083,41.7268215
480,"Chatham, Massachusetts",-69.9597664,41.6820897
481,"Chatham, New York",-73.5948391,42.3642516
482,"Chatham, Pennsylvania",-75.8216087,39.8534419
483,"Chattagua, New York",-79.4668445,42.209774
484,"Chattaguay, New York",-74.0796081,44.9264336
485,"Chautaugue, New York",-79.4668445,42.209774
486,"Chazy, New York",-73.4360334,44.8895329
487,"Cheesecocks, New York",-74.1900385,41.3169326
488,"Chelmsford, Massachusetts",-71.3672838,42.5998139
489,"Chelsea, Massachusetts",-71.0328284,42.3917638
490,"Chelsea, Vermont",-72.4475994,43.989788
491,"Chemong, New York",-76.6238369,42.0084073
492,"Chemung, New York",-76.6238369,42.0084073
493,"Chemungo, New York",-76.6238369,42.0084073
494,"Chenango, New York",-75.6208088,42.4972314
495,"Cheningo, New York",-75.6208088,42.4972314
496,"Cheraw, South Carolina",-79.8833971,34.6976564
497,"Cherry Valley, New York",-74.7532018,42.7956294
498,"Cherryfield, Maine",-67.9258366,44.6072991
499,"Cherryfield, Massachusetts",-71.529039,42.7268796
500,"Cheshire, Connecticut",-72.9106202,41.5083668
501,"Cheshire, Massachusetts",-73.162881,42.5620278
502,"Chesire, Massachusetts",-73.162881,42.5620278
503,"Chester, Massachusetts",-72.978712,42.2792551
504,"Chester, New Hampshire",-71.2572846,42.9567525
505,"Chester, New York",-74.2712613,41.3625937
506,"Chester, Pennsylvania",-75.3557457,39.849557
507,"Chester, Vermont",-72.5951082,43.2628476
508,"Chesterfield, Massachusetts",-72.8398172,42.3917541
509,"Chesterfield, New York",-73.4630156,44.4473259
